id,name,year,country,company
1,Canyon,2009,Philippines,GMC
2,Yukon,1995,Guatemala,GMC
3,Suburban 1500,1998,China,GMC
4,Montana,2005,Poland,Pontiac
5,X6,2011,Czech Republic,BMW
6,Land Cruiser,1996,Sweden,Toyota
7,Maxima,2002,Sweden,Nissan
8,Estate,1989,Greece,Buick
9,ES,2012,Indonesia,Lexus
10,Talon,1994,Indonesia,Eagle
11,Dakota,2005,Indonesia,Dodge
12,Corolla,2008,Russia,Toyota
13,Envoy,2005,Spain,GMC
14,Astro,2001,Argentina,Chevrolet
15,VUE,2007,Philippines,Saturn
16,Silverado 2500,2006,Colombia,Chevrolet
17,E-Series,2010,Indonesia,Ford
18,Santa Fe,2011,Sweden,Hyundai
19,RX,1999,France,Lexus
20,H1,1993,China,Hummer
21,Corvette,1999,Sierra Leone,Chevrolet
22,H3,2008,Morocco,Hummer
23,Scirocco,1985,France,Volkswagen
24,V8 Vantage S,2011,Thailand,Aston Martin
25,Talon,1992,Turkmenistan,Eagle
26,F250,2008,China,Ford
27,Ridgeline,2007,Luxembourg,Honda
28,626,1989,Denmark,Mazda
29,Eclipse,1990,Pakistan,Mitsubishi
30,A3,2008,Italy,Audi
31,Bravada,1996,Palau,Oldsmobile
32,S-Class,2011,Russia,Mercedes-Benz
33,Skyhawk,1988,Indonesia,Buick
34,Sebring,2009,Bangladesh,Chrysler
35,X5,2008,France,BMW
36,Fusion,2012,Peru,Ford
37,GranTurismo,2011,Tunisia,Maserati
38,Skyhawk,1985,Greece,Buick
39,Altima,1997,Sweden,Nissan
40,Soul,2010,Mozambique,Kia
41,Baja,2004,Indonesia,Subaru
42,Aurora,2002,Czech Republic,Oldsmobile
43,Regal,2012,China,Buick
44,Camry,2005,Sweden,Toyota
45,Seville,2004,Mexico,Cadillac
46,F430,2006,Italy,Ferrari
47,Z8,2001,Sweden,BMW
48,Cougar,1991,Brazil,Mercury
49,Grand Am,1996,China,Pontiac
50,Bravada,1996,Chile,Oldsmobile
51,Esperante,2007,Portugal,Panoz
52,Civic,1980,Italy,Honda
53,SC,2009,Brazil,Lexus
54,Taurus,2008,Dominican Republic,Ford
55,E250,2006,China,Ford
56,Starion,1986,Comoros,Mitsubishi
57,9-5,2002,China,Saab
58,RAV4,2002,Colombia,Toyota
59,Ranger,1991,Philippines,Ford
60,CLK-Class,1998,China,Mercedes-Benz
61,Armada,2006,Philippines,Nissan
62,Wrangler,1997,Syria,Jeep
63,Equinox,2009,China,Chevrolet
64,Borrego,2009,United States,Kia
65,Ram 2500 Club,1995,Poland,Dodge
66,Daewoo Lacetti,2006,Canada,Suzuki
